BCI-AV#	Blissymbol	English	Char	Char	5350	1497	212	34	4	1
12392		anniversary		18289	12350					
12393		answer,reply	Y	16445						
12394		answer,reply		12393	8993					
12395		ant		14943	18274	14947				
12396		anus		15923	13097					
12397		anxiety		17985						
12398		anxious,anxiously		12397	8998					
12399		anyone,anybody,somebody,someone		12321	16161					
12400		anything,something		12321	17717					
12401		anytime,sometime		12321	17732					
12402		anywhere,anyplace,someplace,somewhere	Y	12321	13901					
12403		apartment,flat,unit		14905	14932	14905				
12404		apologize,apologise,regret_(express)		16728	8487	16477	8993			
12405		apple	Y							
12406		appointment		17732	15449					
12407		approach	Y	14390	15214					
12408		approve		13949	13416	8993				
12409		apricot		15983	15221					
12410		April		15649	8500					
12411		apron,coverall,smock,overall		16420	13366					
12412		architect		16161	16194	14905				
12413		argue,dispute,quarrel		12414	8993					
12414		argument,dispute,quarrel		13689	14947					
12577		arm	Y							
12578		armchair	Y							
12579		military,armed_forces,armed_services		14646	18036					
12580		around	Y	13627	13867					
12581		art		15420	14164					
12582		art_gallery,gallery		14905	18275	9009				
12583		artificial_insemination		12355	15446	13395				
12584		artificial_respiration		13135	12901					
12585		give_artificial_respiration,resuscitate,revive		12584	8993					
12586		ashes		18043	14183					
12587		ashtray		13403	12586					
12588		ask,inquire,question		16445	8993					
12589		asleep		17008	8998					
12590		astronaut,cosmonaut		16161	16680					
12591		at	Y	16224						
12592		atom	Y		26059					
12593		attack_(of_illness)		16164	15212					
12594		attention		14133	14947	14947				
12595		August		15649	8504					
12596		aunt	Y	16994	15968					
12597		autumn,fall_(ckb)		17462	8499					
12598		autumn,fall		17462	8499	15183	13869			
12599		Av_(Hebrew_month)		15649	25986					
12600		avocado	Y	15986	16188					
12601		awake		24949	8998					
12602		away,at_a_distance,off_(OLD)	Y	15214	26059					
12603		baby,infant	Y	13166						
12604		baby_boy	Y	12888						
12605		baby_carriage,buggy,pram,pushchair,stroller		18028	12603					
12606		baby_clinic		13361	12603					
12607		baby_girl	Y	14439						
12608		babysitter		16161	16419	13166				
12609		back_(body)	Y	16166	26059					
12610		back_and_forth,backward_and_forward,to_and_fro	Y	12613	14390					
12611		backpack,rucksack		16701	12613					
12612		back_up		12613	8993					
12613		backward,back	Y	21852						
12614		bacon		16223	15216	9009				
12615		bad,wrong		14164	15733	8998				
12616		badge,shield	Y							
12617		badminton_(activity)		12335	25608					
12618		baggage,bag,luggage,suitcase	Y							
12619		bake,cook,roast		13408	13934	8993				
12620		balcony,porch,veranda		16687	15942					
12621		ball	Y							
12622		balloon	Y							
12623		banana	Y							
12624		band,orchestra_(OLD)		14646	15681					
12625		bandage,dressing		13365	16420	15446				
12626		bank		14905	15484					
12627		bar,pub		16430	12359					
12628		barber,hairdresser		16161	14660					
12629		barbershop,beauty_shop		16430	14660					
12630		barn,stable,shed		14905	12378					
12631		barrier_(contraceptive)	Y	17226						
12632		baseball_(activity)		12335	12621	25537				
12633		base_camp		16193	14426					
12634		basketball_(activity)		12335	12621					
12635		bat_(sport)		15216	12621	9009				
12636		bat_(animal)	Y	12378	18259					
12637		bathroom,washroom		16687	16992					
12638		battery		13403	13918					
12639		be,am,are,is,exist		15223	8993					
12640		beach,bank,coast,shore	Y	13901	25777					
12641		beach_tennis_(activity)_(OLD)		17522	12640					
12642		bean	Y							
12643		bear		12378	24801	12378				
12644		beard	Y	26052	26059					
12645		beautiful,attractive,good-looking,handsome,pretty		22903	8998					
12646		beaver		25632	17517					
12647		because		13135						
12648		become		12343	12639	8993				
12649		bed	Y							
12650		bedroom		16687	17008					
12651		bee,bumblebee,hoverfly		14372	14205					
12652		beef		14377	12379					
12653		beer		12359	14424					
12654		beet,beetroot		17958						
12655		beetle	Y	14943						
12656		before,in_front_of,prior_to	Y	13867	15214					
12657		begin,start		12658	8993					
12658		beginning,start	Y	15214	14390					
12659		behaviour		12334	13609	9009				
12660		belief		14164	25574					
12661		believe		12660	8993					
12662		bell		17717	8497	15682				
12663		belongs_to,of_(possessive)	Y	12339						
12664		belt,sash		15216	18029	9009				
12665		bench,pew		13148	15229					
12666		berry	Y							
12667		best		15661	13416	8998				
12668		better		15654	13416	8998				
12669		between	Y							
12670		beyond,past_(OLD)		15942	15213	8998				
12833		bib		16420	13161					
12834		bicycle		8498	18232					
12835		big,large		24875	8998					
12836		bindi,tika_(decoration)		13867	13377	14384				
12837		bird	Y							
12838		bird_(domestic)		12837	16420					
12839		bird_(protected)		12837	16420	8996				
12840		duck,bird_(water),waterbird,waterfowl,seabird,seafowl	Y	12837	18209					
12841		bird_(wild)		12837	15921					
12842		birth,giving_birth,parturition,delivery	Y	14170	13869					
12843		birth	Y	16420	17252					
12844		birth_control		13935	13395					
12845		birth_control_pill,pill		12845	15474	13911				
12846		birthday		13639	12843					
12847		bite		17517	8993					
12848		bitter		17506	13869	8998				
12849		black_(bci)		13377	15719					
12850		black_(ckb)		13377						
12851		blackbird,crow,raven		12837						
12852		blackboard,chalkboard,whiteboard,writing_board		13934	18285					
12853		bladder		13403	17990					
12854		blanket,duvet,quilt		13365	16420	12649				
12855		bleed		12861	8993					
12856		blind		25526	8998					
12857		blissymbol,Bliss-word	Y	18278	15991					
12858		blissymbol_part		15972	12857					
12859		blissymbolics_resource_centre		16493	12857					
12860		block,brick	Y							
12861		blood		18209	15206					
12862		blow_(wind)		18255	8993					
12863		blow_(mouth)		15666	18255	8993				
12864		blue_(bci)		13377	17006					
12865		blue_(ckb)		13377	8501					
12866		blueberry		12666						
12867		bluebird		12837						
12868		board_(material)	Y	17493	26059					
12869		boat,ship	Y							
12870		body,trunk	Y							
12871		boil_(food)		14183	18209	14947	8993			
12872		boil_(liquid)		14183	18209	14947	8993			
12873		bone	Y							
12874		bonfire,barbeque,campfire		14183	14675					
12875		book	Y							
12876		boot		16420	25578					
12877		borrow		14435	15212	8993				
12878		boss,supervisor_(OLD)		16161	15181	18274				
12879		both		8498	12360					
12880		bottle,flask	Y							
12881		bottom,base	Y	13934	26059					
12882		bow_(knot)	Y							
12883		bowel,intestine_(OLD)		24296	12884					
12884		bowel_movement,defecation,shitting,feces,shit,poop		18043	13097					
12885		bowling_(activity)		12335	25524					
12886		box,cube	Y							
12887		boxing_(activity)		12335	14175					
12888		boy,lad	Y	13166						
12889		bra,brassiere		13366						
12890		medical_aid		17469	15446	9009				
12891		bracha,berakah,prayer_(small)		16237	8487					
12892		Brahma		14451	13607					
12893		brain	Y	15471	9009					
12894		branch	Y	17775	26059					
12895		bread,loaf_of_bread,loaf	Y							
12896		break,crack,fracture,tear,injure,damage		24852	8993					
12897		breakable,fragile,vulnerable		24852	8997					
12898		breakfast		15438	8497					
12899		breast(s)	Y	12870	26059					
12900		breath,breathing,respiration		15732	15666					
12901		breathe		12900	8993					
12902		bridge,overpass	Y	13901	23817	13901				
12903		bright		15208	14947	8998				
12904		bring		13125	14390	15214	8993			
12905		broccoli		13101	14205					
12906		broil,barbecue,grill		13408	14947	8993				
12907		broken,injured,damaged		24852	8996					
12908		broom	Y							
12909		brother		17209	8498					
12910		brown_(bci)		13377	13901					
12911		brown_(ckb)		13377	8497	8487				
12912		brush	Y							
12913		brush		12913	8993					
12914		brush_teeth		17756	8993					
12915		brussels_sprout(s)		13101	15221					
12916		bubble	Y	14424	26059					
12917		buffalo,bison	Y	12379						
12919		bulb_(flower)	Y	26050	26059					
12920		bull		12379	15414					
12921		bull_(fighting)		12379	14175					
12922		burn		14183	8993					
12923		burned,burnt		14183	8996					
12924		burning		14183	8998					
12925		burp,belch		18255	25590	8993				
12926		bury_(person)		14638	8993					
13089		bus,coach	Y	24332						
13090		bus_stop,bus_bay_(OLD)	Y	24214	13901	13089				
13091		bus_driver		16161	13089					
13092		bush,shrub	Y							
13093		business,economy,commerce,trade	Y	15484	14882					
13094		but,except,except_for_(preposition)	Y							
13095		butter		17238	13605					
13096		butterfly,moth	Y							
13097		buttocks,bottom,bum,rear,ass	Y	16166	26059					
13098		button,gripper,snap		13685	13366					
13099		buy,purchase		15484	17717	8993				
13100		by,by_means_of,of	Y							
13101		cabbage	Y							
13102		cabin,cottage,hut		14905	15221					
13103		caesarean_section,C-section		17448	15446	14170				
13104		cafe,coffee_house,snack_bar		16430						
13105		cage		13934						
13106		cake,bread_with_sugar		12895	17479					
13107		calculate		23475	8993					
13108		calculator		15406	13107					
13109		calendar		15962	13639	15649				
13110		camel	Y	12378						
13111		camera	Y	13934	15208					
13112		camp		14427	13424	15212				
13113		camper,caravan,mobile_home	Y	18010						
13114		can,be_able		25520	8993					
13115		cylinder,can	Y							
13116		Canada		13423						
13117		candle		15216	14183	15208	9009			
13118		candy_(OLD)		14377	17479	14947				
13119		cane,stick,walking_stick		15216	18031	9009				
13120		cannon,gun	Y							
13121		car,automobile,motor_vehicle	Y	18010						
13122		cards,playing_cards		15962	16200	9011				
13123		careful		24846	14947	14947	8998			
13124		carrot,vegetable_(wedge-shaped)	Y	18005						
13125		carry,move,transport		25625	8993					
13126		carrycot,bassinet		13403	12603					
13127		cart,carriage	Y	25625	14390					
13128		cassette,audiocassette,videocassette	Y							
13129		plaster_cast,cast_(medical)		13934	15446	12870				
13131		catch,grab		14667	14435	8993				
13132		caterpillar		18279	13096					
13133		cauliflower		13101	14205					
13134		cause	Y							
13135		cause		13135	8993					
13136		be_caused_by		13135	9003					
13137		cave		14883	15663					
13138		cavity,caries	Y	17517	13867					
13139		ceiling	Y	16687	26059					
13140		celery	Y	18004						
13141		celibacy,chastity		15474	16931					
13142		cemetery		16193	14638					
13143		cent	Y							
13144		century		8497	8496	8496	18289			
13145		cereal	Y	13690	14625					
13146		certain_(OLD)		15927	13868	8998				
13147		cervix		15972	17994					
13148		chair,seat	Y							
13149		challah		12895	16700					
13150		chameleon		12388	13151					
13151		change,alteration,conversion	Y	18214						
13152		change,alter,convert		13151	8993					
13153		Chanukah,Hanukkah		14884	15208					
13154		charity		14704		14164				
13155		cheap_(OLD)		15927	23080	8998				
13156		cheek	Y	14138	26059					
13157		cheese	Y							
13158		chemical_product	Y							
13159		cherry,cherries	Y	14405	16189	14405	16189			
13160		Cheshvan		15649	12658	16456				
13161		chest	Y	12870	26059					
13162		chest_of_drawers,bureau,dresser	Y							
13163		chew		15671	27011	8993				
13164		chicken_(bird)		12837	14377					
13165		chicken_(food),poultry		14377	12837					
13166		child,kid,youngster	Y	14205						
13167		child_abuse		12327	13166					
13168		chimney	Y	26045	26059					
13169		chin	Y	14138	26059					
13170		chipmunk		12386	15214					
13171		chocolate_(OLD)		14377	16233					
13172		chocolate_drink_(OLD)		13882	22905					
13173		chocolate_flavouring,cocoa,cacao_powder_(OLD)		24003	22905					
13174		chocolate_spread_(OLD)		17238	22905					
13175		choice,selection,election	Y	24879	14133					
13176		choir,chorus		14646	16990					
13177		choke,gag		17471	15733	8993				
13178		choose,pick,select		13175	8993					
13179		chop		17213	14947	8993				
13180		christian		13614	8998					
13181		Christmas		12846	14969					
13182		Chumash,Pentateuch		8501	12875					
13345		church,mosque,temple		14905	14451					
13346		cigarette	Y	25611	26059					
13347		circle_(shape)		16940						
13348		circumcision		17448	14385					
13349		citizen	Y	13901	15416					
13351		town,city_(small)		15671	15671	14905				
13352		class		14646	15184					
13353		classroom		16687	17512					
13354		claw_(animal)	Y	12383	26059					
13355		claw_(bird)	Y	12837						
13356		clean_(OLD)		15927	13683	8998				
13357		clean		17448	13683	8993				
13358		clear,transparent		24878	8998					
13359		clerk		14706	13093					
13360		climb		18031	17983	8993				
13361		clinic		16430	15446					
13362		clitoris		15972		14947				
13363		clock,timepiece	Y	17732	9009					
13364		close,enclose,shut		13934	8993					
13365		cloth,fabric,material,textile,net	Y							
13366		clothing,clothes,garment	Y	13365	16420					
13367		cloud	Y	18209	17006					
13368		cloudy		13367	8998					
13369		club		14427	24916					
